anchor  T   orient(vs consensus, gated)  D3(global shift)  D4(%non-incr)  p*
min   0.5   +0.464                     +1.000             99       260
min   1.0   +0.458                     +1.000            100       260
min   2.0   +0.455                     +1.000            100       260
q10   0.5   +0.996                     +1.000            100       110
q10   1.0   +0.996                     +1.000            100       110
q10   2.0   +0.995                     +1.000            100       110
q25   0.5   +0.996                     +1.000            100       110
q25   1.0   +0.996                     +1.000            100       110
q25   2.0   +0.995                     +1.000            100       110
med   0.5   +0.996                     +1.000            100       110
med   1.0   +0.996                     +1.000            100       110
med   2.0   +0.995                     +1.000            100       110

Goal: orient > +0.9 AND D3 ~ +1 (shift-invariant) AND D4 = 100. If found -> repaired candidate.
